address,class,data-pid,data-pname,data-price,data-equipment,data-style,data-variant,data-vgid,data-minspeed
13246 8TH AVE NW SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
13246 8TH AVE NW SEATTLE WA 98177 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
1325 31ST AVE S SEATTLE WA 98144 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1325 31ST AVE S SEATTLE WA 98144 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1325 9TH AVE SEATTLE WA 98101 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
1325 9TH AVE SEATTLE WA 98101 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
1325 9TH AVE SEATTLE WA 98101 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
1325 9TH AVE SEATTLE WA 98101 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
13257 15TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
13257 15TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
13257 15TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
